13;113.00;Estimé;315.00;Estimé;155.00;Estimé;137.00;Estimé;110.00;Estimé;232.00;Estimé;136.00;Estimé;104.00;Estimé;97.00;Estimé;118.00;Estimé;99.00;Estimé;110.00;Estimé;
14;113.00;Estimé;299.00;Estimé;152.00;Estimé;135.00;Estimé;122.00;Estimé;281.00;Estimé;116.00;Estimé;132.00;Estimé;97.70;Estimé;135.00;Estimé;113.00;Estimé;133.00;Estimé;
15;114.00;Estimé;222.00;Estimé;148.00;Estimé;141.00;Estimé;107.00;Estimé;178.00;Estimé;111.00;Estimé;141.00;Estimé;99.80;Estimé;126.00;Estimé;130.00;Estimé;142.00;Estimé;
16;115.00;Estimé;207.00;Estimé;153.00;Estimé;125.00;Estimé;140.00;Estimé;180.00;Estimé;106.00;Estimé;126.00;Estimé;102.00;Estimé;111.00;Estimé;127.00;Estimé;138.00;Estimé;
17;128.00;Estimé;336.00;Estimé;184.00;Estimé;112.00;Estimé;205.00;Estimé;151.00;Estimé;102.00;Estimé;114.00;Estimé;101.00;Estimé;104.00;Estimé;119.00;Estimé;147.00;Estimé;
18;141.00;Estimé;349.00;Estimé;154.00;Estimé;118.00;Estimé;182.00;Estimé;171.00;Estimé;117.00;Estimé;118.00;Estimé;103.00;Estimé;105.00;Estimé;128.00;Estimé;143.00;Estimé;
19;159.00;Estimé;331.00;Estimé;131.00;Estimé;128.00;Estimé;201.00;Estimé;195.00;Estimé;128.00;Estimé;127.00;Estimé;106.00;Estimé;107.00;Estimé;135.00;Estimé;118.00;Estimé;
20;168.00;Estimé;352.00;Estimé;147.00;Estimé;117.00;Estimé;148.00;Estimé;207.00;Estimé;132.00;Estimé;119.00;Estimé;107.00;Estimé;101.00;Estimé;155.00;Estimé;123.00;Estimé;
21;188.00;Estimé;348.00;Estimé;167.00;Estimé;106.00;Estimé;150.00;Estimé;229.00;Estimé;112.00;Estimé;127.00;Estimé;92.20;Estimé;96.70;Estimé;260.00;Estimé;124.00;Estimé;
22;157.00;Estimé;325.00;Estimé;197.00;Estimé;124.00;Estimé;206.00;Estimé;218.00;Estimé;107.00;Estimé;134.00;Estimé;97.70;Estimé;93.70;Estimé;180.00;Estimé;122.00;Estimé;
23;230.00;Estimé;290.00;Estimé;159.00;Estimé;137.00;Estimé;319.00;Estimé;156.00;Estimé;108.00;Estimé;126.00;Estimé;105.00;Estimé;100.00;Estimé;216.00;Estimé;117.00;Estimé;
24;239.00;Estimé;267.00;Estimé;156.00;Estimé;120.00;Estimé;211.00;Estimé;147.00;Estimé;144.00;Estimé;133.00;Estimé;107.00;Estimé;99.30;Estimé;164.00;Estimé;120.00;Estimé;
25;218.00;Estimé;248.00;Estimé;171.00;Estimé;113.00;Estimé;131.00;Estimé;124.00;Estimé;128.00;Estimé;134.00;Estimé;114.00;Estimé;115.00;Estimé;148.00;Estimé;132.00;Estimé;
26;231.00;Estimé;234.00;Estimé;190.00;Estimé;118.00;Estimé;151.00;Estimé;198.00;Estimé;106.00;Estimé;116.00;Estimé;106.00;Estimé;125.00;Estimé;154.00;Estimé;140.00;Estimé;
27;335.00;Estimé;231.00;Estimé;172.00;Estimé;121.00;Estimé;138.00;Estimé;262.00;Estimé;124.00;Estimé;116.00;Estimé;100.00;Estimé;107.00;Estimé;202.00;Estimé;142.00;Estimé;
28;373.00;Estimé;214.00;Estimé;169.00;Estimé;117.00;Estimé;174.00;Estimé;171.00;Estimé;115.00;Estimé;113.00;Estimé;102.00;Estimé;96.00;Estimé;139.00;Estimé;128.00;Estimé;
29;475.00;Estimé;;;244.00;Estimé;118.00;Estimé;188.00;Estimé;170.00;Estimé;115.00;Estimé;112.00;Estimé;126.00;Estimé;101.00;Estimé;148.00;Estimé;120.00;Estimé;
30;483.00;Estimé;;;261.00;Estimé;119.00;Estimé;168.00;Estimé;161.00;Estimé;109.00;Estimé;113.00;Estimé;118.00;Estimé;145.00;Estimé;144.00;Estimé;130.00;Estimé;
31;516.00;;;;264.00;Estimé;;;169.00;Estimé;;;98.60;Estimé;111.00;Estimé;;;132.00;Estimé;;;141.00;Estimé;
Procédure : QJM - Année : 1972

Code station;Libellé station;Bassin versant (km²);Producteur;E-mail;
H5920011;La Seine à Paris [Austerlitz avant création lacs];43800;DRIEE IDF;marc.valente@developpement-durable.gouv.fr;

Année;1972;
;
Débits mensuels en m3/s;
;QMM;QMN;V;
J;149.00;149.00;#;;
F;227.00;227.00;#;;
M;134.00;134.00;#;;
A;158.00;158.00;#;;
M;140.00;140.00;#;;
J;132.00;132.00;#;;
J;162.00;162.00;#;;
A;250.00;250.00;#;;
S;134.00;134.00;#;;
O;120.00;120.00;#;;
N;351.00;351.00;#;;
D;295.00;295.00;#;;

Statistiques;
;;Janvier;Février;Mars;Avril;Mai;Juin;Juillet;Août;Septembre;Octobre;Novembre;Décembre;1972
Ecoulement mensuel;Validité;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;;
;Débit moyen (m3/s);149.00;227.00;134.00;158.00;140.00;132.00;162.00;250.00;134.00;120.00;351.00;295.00;187.00;
;Débit moyen spécifique (l/s/km2);3.39;5.17;3.05;3.62;3.19;3.02;3.69;5.70;3.05;2.74;8.02;6.74;4.28;
;Lame d'eau (mm);9.10;13.00;8.20;9.40;8.60;7.80;9.90;15.30;7.90;7.30;20.80;18.00;135.00;
;
Ecoulement naturel reconstitué;Débit moyen (m3/s);149.00;227.00;134.00;158.00;140.00;132.00;162.00;250.00;134.00;120.00;351.00;295.00;187.00;
;Débit moyen spécifique (l/s/km2);3.39;5.17;3.05;3.62;3.19;3.02;3.69;5.70;3.05;2.74;8.02;6.74;4.28;
;Lame d'eau (mm);9.10;13.00;8.20;9.40;8.60;7.80;9.90;15.30;7.90;7.30;20.80;18.00;135.00;
;
Maximum instantané;Débit (m3/s);319.00;424.00;207.00;327.00;238.00;201.00;365.00;498.00;207.00;158.00;679.00;495.00;679.00;
;Date;30/01/1972 07:00;20/02/1972 07:00;08/03/1972 07:00;15/04/1972 07:00;31/05/1972 07:00;05/06/1972 07:00;20/07/1972 07:00;22/08/1972 07:00;02/09/1972 07:00;23/10/1972 07:00;25/11/1972 07:00;01/12/1972 00:01;25/11/1972 07:00;
;Hauteur (cm);125.00;146.00;110.00;126.00;115.00;109.00;133.00;163.00;110.00;102.00;219.00;162.00;219.00;
;Date;30/01/1972 07:00;20/02/1972 07:00;08/03/1972 07:00;15/04/1972 07:00;31/05/1972 07:00;05/06/1972 07:00;20/07/1972 07:00;22/08/1972 07:00;02/09/1972 07:00;23/10/1972 07:00;25/11/1972 07:00;01/12/1972 00:01;25/11/1972 07:00;
;

Débits journaliers;
Jour/Mois;Janvier;;Février;;Mars;;Avril;;Mai;;Juin;;Juillet;;Août;;Septembre;;Octobre;;Novembre;;Décembre;;
;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;
1;151.00;Estimé;155.00;Estimé;127.00;Estimé;115.00;Estimé;118.00;Estimé;132.00;Estimé;137.00;Estimé;178.00;Estimé;150.00;Estimé;127.00;Estimé;112.00;Estimé;488.00;Estimé;
2;168.00;Estimé;140.00;Estimé;142.00;Estimé;112.00;Estimé;114.00;Estimé;118.00;Estimé;146.00;Estimé;207.00;Estimé;197.00;Estimé;127.00;Estimé;115.00;Estimé;470.00;Estimé;
3;187.00;Estimé;165.00;Estimé;138.00;Estimé;122.00;Estimé;117.00;Estimé;113.00;Estimé;143.00;Estimé;157.00;Estimé;177.00;Estimé;120.00;Estimé;111.00;Estimé;445.00;Estimé;
4;151.00;Estimé;162.00;Estimé;140.00;Estimé;134.00;Estimé;130.00;Estimé;149.00;Estimé;129.00;Estimé;129.00;Estimé;154.00;Estimé;122.00;Estimé;111.00;Estimé;401.00;Estimé;
5;143.00;Estimé;133.00;Estimé;132.00;Estimé;154.00;Estimé;162.00;Estimé;189.00;Estimé;141.00;Estimé;119.00;Estimé;135.00;Estimé;114.00;Estimé;120.00;Estimé;347.00;Estimé;
6;151.00;Estimé;129.00;Estimé;148.00;Estimé;170.00;Estimé;153.00;Estimé;152.00;Estimé;144.00;Estimé;125.00;Estimé;127.00;Estimé;110.00;Estimé;108.00;Estimé;326.00;Estimé;
7;144.00;Estimé;134.00;Estimé;153.00;Estimé;142.00;Estimé;127.00;Estimé;124.00;Estimé;155.00;Estimé;134.00;Estimé;141.00;Estimé;102.00;Estimé;126.00;Estimé;345.00;Estimé;
8;132.00;Estimé;175.00;Estimé;202.00;Estimé;160.00;Estimé;133.00;Estimé;135.00;Estimé;187.00;Estimé;147.00;Estimé;154.00;Estimé;111.00;Estimé;206.00;Estimé;290.00;Estimé;
9;119.00;Estimé;195.00;Estimé;184.00;Estimé;171.00;Estimé;146.00;Estimé;131.00;Estimé;237.00;Estimé;151.00;Estimé;139.00;Estimé;122.00;Estimé;139.00;Estimé;256.00;Estimé;
10;125.00;Estimé;189.00;Estimé;139.00;Estimé;188.00;Estimé;156.00;Estimé;144.00;Estimé;263.00;Estimé;146.00;Estimé;144.00;Estimé;122.00;Estimé;120.00;Estimé;398.00;Estimé;
11;118.00;Estimé;207.00;Estimé;131.00;Estimé;214.00;Estimé;138.00;Estimé;158.00;Estimé;210.00;Estimé;142.00;Estimé;135.00;Estimé;147.00;Estimé;176.00;Estimé;385.00;Estimé;
12;129.00;Estimé;219.00;Estimé;151.00;Estimé;187.00;Estimé;182.00;Estimé;133.00;Estimé;175.00;Estimé;133.00;Estimé;116.00;Estimé;127.00;Estimé;186.00;Estimé;398.00;Estimé;
13;117.00;Estimé;252.00;Estimé;157.00;Estimé;189.00;Estimé;138.00;Estimé;121.00;Estimé;138.00;Estimé;156.00;Estimé;126.00;Estimé;114.00;Estimé;198.00;Estimé;407.00;Estimé;
14;115.00;Estimé;268.00;Estimé;141.00;Estimé;247.00;Estimé;149.00;Estimé;114.00;Estimé;131.00;Estimé;233.00;Estimé;147.00;Estimé;123.00;Estimé;165.00;Estimé;380.00;Estimé;
15;130.00;Estimé;241.00;Estimé;132.00;Estimé;292.00;Estimé;125.00;Estimé;122.00;Estimé;131.00;Estimé;273.00;Estimé;131.00;Estimé;117.00;Estimé;213.00;Estimé;352.00;Estimé;
16;166.00;Estimé;353.00;Estimé;128.00;Estimé;208.00;Estimé;137.00;Estimé;136.00;Estimé;129.00;Estimé;291.00;Estimé;117.00;Estimé;115.00;Estimé;363.00;Estimé;339.00;Estimé;
17;178.00;Estimé;311.00;Estimé;129.00;Estimé;181.00;Estimé;126.00;Estimé;133.00;Estimé;130.00;Estimé;353.00;Estimé;118.00;Estimé;109.00;Estimé;474.00;Estimé;318.00;Estimé;
18;112.00;Estimé;344.00;Estimé;113.00;Estimé;187.00;Estimé;125.00;Estimé;143.00;Estimé;157.00;Estimé;396.00;Estimé;126.00;Estimé;107.00;Estimé;534.00;;271.00;Estimé;
19;109.00;Estimé;411.00;Estimé;130.00;Estimé;181.00;Estimé;150.00;Estimé;157.00;Estimé;231.00;Estimé;407.00;Estimé;130.00;Estimé;111.00;Estimé;545.00;;207.00;Estimé;
20;122.00;Estimé;416.00;Estimé;144.00;Estimé;172.00;Estimé;185.00;Estimé;149.00;Estimé;317.00;Estimé;399.00;Estimé;117.00;Estimé;106.00;Estimé;536.00;;180.00;Estimé;
21;113.00;Estimé;382.00;Estimé;119.00;Estimé;156.00;Estimé;148.00;Estimé;120.00;Estimé;167.00;Estimé;415.00;Estimé;114.00;Estimé;112.00;Estimé;503.00;Estimé;277.00;Estimé;
22;132.00;Estimé;306.00;Estimé;110.00;Estimé;147.00;Estimé;132.00;Estimé;114.00;Estimé;113.00;Estimé;489.00;Estimé;114.00;Estimé;136.00;Estimé;593.00;;285.00;Estimé;
23;151.00;Estimé;219.00;Estimé;126.00;Estimé;135.00;Estimé;152.00;Estimé;133.00;Estimé;131.00;Estimé;463.00;Estimé;118.00;Estimé;151.00;Estimé;611.00;;209.00;Estimé;
24;127.00;Estimé;189.00;Estimé;125.00;Estimé;125.00;Estimé;149.00;Estimé;132.00;Estimé;144.00;Estimé;422.00;Estimé;123.00;Estimé;136.00;Estimé;635.00;;142.00;Estimé;
25;118.00;Estimé;176.00;Estimé;116.00;Estimé;122.00;Estimé;126.00;Estimé;144.00;Estimé;172.00;Estimé;421.00;Estimé;120.00;Estimé;125.00;Estimé;672.00;;185.00;Estimé;
26;120.00;Estimé;219.00;Estimé;105.00;Estimé;111.00;Estimé;104.00;Estimé;112.00;Estimé;181.00;Estimé;314.00;Estimé;112.00;Estimé;116.00;Estimé;648.00;;224.00;Estimé;
27;172.00;Estimé;182.00;Estimé;104.00;Estimé;111.00;Estimé;108.00;Estimé;96.40;Estimé;137.00;Estimé;210.00;Estimé;110.00;Estimé;118.00;Estimé;607.00;;192.00;Estimé;
28;228.00;Estimé;171.00;Estimé;113.00;Estimé;113.00;Estimé;111.00;Estimé;113.00;Estimé;121.00;Estimé;210.00;Estimé;113.00;Estimé;130.00;Estimé;581.00;;174.00;Estimé;
29;238.00;Estimé;130.00;Estimé;136.00;Estimé;102.00;Estimé;140.00;Estimé;128.00;Estimé;120.00;Estimé;218.00;Estimé;156.00;Estimé;114.00;Estimé;531.00;;159.00;Estimé;
30;271.00;Estimé;;;116.00;Estimé;103.00;Estimé;154.00;Estimé;127.00;Estimé;144.00;Estimé;160.00;Estimé;152.00;Estimé;115.00;Estimé;502.00;;146.00;Estimé;
31;170.00;Estimé;;;112.00;Estimé;;;202.00;Estimé;;;149.00;Estimé;138.00;Estimé;;;114.00;Estimé;;;149.00;Estimé;
Procédure : QJM - Année : 1973

Code station;Libellé station;Bassin versant (km²);Producteur;E-mail;
H5920011;La Seine à Paris [Austerlitz avant création lacs];43800;DRIEE IDF;marc.valente@developpement-durable.gouv.fr;

Année;1973;
;
Débits mensuels en m3/s;
;QMM;QMN;V;
J;167.00;167.00;#;;
F;519.00;519.00;#;;
M;229.00;229.00;#;;
A;156.00;156.00;#;;
M;189.00;189.00;#;;
J;180.00;180.00;#;;
J;162.00;162.00;#;;
A;162.00;162.00;#;;
S;152.00;152.00;#;;
O;173.00;173.00;#;;
N;195.00;195.00;#;;
D;414.00;414.00;#;;

Statistiques;
;;Janvier;Février;Mars;Avril;Mai;Juin;Juillet;Août;Septembre;Octobre;Novembre;Décembre;1973
Ecoulement mensuel;Validité;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;Estimé;;
;Débit moyen (m3/s);167.00;519.00;229.00;156.00;189.00;180.00;162.00;162.00;152.00;173.00;195.00;414.00;223.00;
;Débit moyen spécifique (l/s/km2);3.82;11.80;5.22;3.55;4.32;4.11;3.70;3.71;3.47;3.95;4.44;9.46;5.09;
;Lame d'eau (mm);10.20;28.60;14.00;9.20;11.60;10.60;9.90;9.90;9.00;10.60;11.50;25.30;161.00;
;
Ecoulement naturel reconstitué;Débit moyen (m3/s);167.00;519.00;229.00;156.00;189.00;180.00;162.00;162.00;152.00;173.00;195.00;414.00;223.00;
;Débit moyen spécifique (l/s/km2);3.82;11.80;5.22;3.55;4.32;4.11;3.70;3.71;3.47;3.95;4.44;9.46;5.09;
;Lame d'eau (mm);10.20;28.60;14.00;9.20;11.60;10.60;9.90;9.90;9.00;10.60;11.50;25.30;161.00;
;
Maximum instantané;Débit (m3/s);410.00;679.00;558.00;207.00;365.00;504.00;225.00;207.00;213.00;245.00;303.00;781.00;781.00;
;Date;29/01/1973 07:00;15/02/1973 07:00;01/03/1973 00:01;08/04/1973 07:00;07/05/1973 07:00;02/06/1973 07:00;18/07/1973 07:00;22/08/1973 07:00;29/09/1973 07:00;15/10/1973 07:00;05/11/1973 07:00;28/12/1973 07:00;28/12/1973 07:00;
;Hauteur (cm);143.00;219.00;182.00;110.00;133.00;165.00;113.00;110.00;111.00;116.00;123.00;251.00;251.00;
;Date;29/01/1973 07:00;15/02/1973 07:00;01/03/1973 00:01;08/04/1973 07:00;07/05/1973 07:00;02/06/1973 07:00;18/07/1973 07:00;22/08/1973 07:00;29/09/1973 07:00;15/10/1973 07:00;05/11/1973 07:00;28/12/1973 07:00;28/12/1973 07:00;
;

Débits journaliers;
Jour/Mois;Janvier;;Février;;Mars;;Avril;;Mai;;Juin;;Juillet;;Août;;Septembre;;Octobre;;Novembre;;Décembre;;
;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;
1;160.00;Estimé;417.00;Estimé;546.00;;139.00;Estimé;194.00;Estimé;216.00;Estimé;144.00;Estimé;146.00;Estimé;175.00;Estimé;118.00;Estimé;225.00;Estimé;211.00;Estimé;
2;153.00;Estimé;439.00;Estimé;508.00;Estimé;168.00;Estimé;132.00;Estimé;472.00;Estimé;137.00;Estimé;159.00;Estimé;175.00;Estimé;130.00;Estimé;198.00;Estimé;213.00;Estimé;
3;140.00;Estimé;452.00;Estimé;464.00;Estimé;178.00;Estimé;161.00;Estimé;439.00;Estimé;135.00;Estimé;164.00;Estimé;182.00;Estimé;142.00;Estimé;198.00;Estimé;217.00;Estimé;
4;114.00;Estimé;458.00;Estimé;489.00;Estimé;155.00;Estimé;254.00;Estimé;423.00;Estimé;145.00;Estimé;161.00;Estimé;162.00;Estimé;145.00;Estimé;214.00;Estimé;182.00;Estimé;
5;109.00;Estimé;420.00;Estimé;446.00;Estimé;159.00;Estimé;153.00;Estimé;203.00;Estimé;140.00;Estimé;152.00;Estimé;154.00;Estimé;147.00;Estimé;251.00;Estimé;174.00;Estimé;
6;122.00;Estimé;399.00;Estimé;374.00;Estimé;169.00;Estimé;230.00;Estimé;142.00;Estimé;125.00;Estimé;150.00;Estimé;158.00;Estimé;167.00;Estimé;149.00;Estimé;170.00;Estimé;
7;127.00;Estimé;398.00;Estimé;302.00;Estimé;188.00;Estimé;304.00;Estimé;120.00;Estimé;135.00;Estimé;163.00;Estimé;155.00;Estimé;183.00;Estimé;136.00;Estimé;240.00;Estimé;
8;134.00;Estimé;367.00;Estimé;218.00;Estimé;197.00;Estimé;190.00;Estimé;150.00;Estimé;173.00;Estimé;160.00;Estimé;144.00;Estimé;185.00;Estimé;128.00;Estimé;202.00;Estimé;
9;121.00;Estimé;365.00;Estimé;167.00;Estimé;166.00;Estimé;264.00;Estimé;137.00;Estimé;169.00;Estimé;146.00;Estimé;141.00;Estimé;175.00;Estimé;146.00;Estimé;263.00;Estimé;
10;113.00;Estimé;354.00;Estimé;204.00;Estimé;148.00;Estimé;199.00;Estimé;128.00;Estimé;149.00;Estimé;142.00;Estimé;149.00;Estimé;169.00;Estimé;211.00;Estimé;346.00;Estimé;
11;109.00;Estimé;345.00;Estimé;215.00;Estimé;143.00;Estimé;187.00;Estimé;137.00;Estimé;145.00;Estimé;162.00;Estimé;165.00;Estimé;171.00;Estimé;206.00;Estimé;342.00;Estimé;
12;109.00;Estimé;407.00;Estimé;272.00;Estimé;146.00;Estimé;165.00;Estimé;197.00;Estimé;146.00;Estimé;169.00;Estimé;173.00;Estimé;189.00;Estimé;201.00;Estimé;352.00;Estimé;
13;113.00;Estimé;482.00;Estimé;198.00;Estimé;148.00;Estimé;176.00;Estimé;154.00;Estimé;154.00;Estimé;176.00;Estimé;179.00;Estimé;191.00;Estimé;220.00;Estimé;361.00;Estimé;
14;108.00;Estimé;630.00;;144.00;Estimé;151.00;Estimé;225.00;Estimé;137.00;Estimé;152.00;Estimé;164.00;Estimé;166.00;Estimé;198.00;Estimé;258.00;Estimé;392.00;Estimé;
15;111.00;Estimé;657.00;;126.00;Estimé;146.00;Estimé;273.00;Estimé;113.00;Estimé;175.00;Estimé;177.00;Estimé;156.00;Estimé;223.00;Estimé;207.00;Estimé;384.00;Estimé;
16;112.00;Estimé;615.00;;117.00;Estimé;145.00;Estimé;241.00;Estimé;120.00;Estimé;181.00;Estimé;179.00;Estimé;158.00;Estimé;187.00;Estimé;229.00;Estimé;389.00;Estimé;
17;108.00;Estimé;626.00;;125.00;Estimé;143.00;Estimé;164.00;Estimé;156.00;Estimé;202.00;Estimé;169.00;Estimé;147.00;Estimé;226.00;Estimé;245.00;Estimé;427.00;Estimé;
18;128.00;Estimé;592.00;;117.00;Estimé;146.00;Estimé;156.00;Estimé;148.00;Estimé;218.00;Estimé;164.00;Estimé;147.00;Estimé;201.00;Estimé;168.00;Estimé;443.00;Estimé;
19;141.00;Estimé;595.00;;126.00;Estimé;148.00;Estimé;171.00;Estimé;147.00;Estimé;205.00;Estimé;163.00;Estimé;139.00;Estimé;132.00;Estimé;193.00;Estimé;414.00;Estimé;
20;133.00;Estimé;601.00;;116.00;Estimé;153.00;Estimé;198.00;Estimé;154.00;Estimé;197.00;Estimé;156.00;Estimé;123.00;Estimé;169.00;Estimé;198.00;Estimé;419.00;Estimé;
21;143.00;Estimé;631.00;;108.00;Estimé;156.00;Estimé;265.00;Estimé;133.00;Estimé;158.00;Estimé;163.00;Estimé;117.00;Estimé;181.00;Estimé;203.00;Estimé;426.00;Estimé;
22;148.00;Estimé;653.00;;125.00;Estimé;164.00;Estimé;152.00;Estimé;141.00;Estimé;179.00;Estimé;191.00;Estimé;137.00;Estimé;191.00;Estimé;197.00;Estimé;450.00;Estimé;
23;151.00;Estimé;608.00;;229.00;Estimé;159.00;Estimé;205.00;Estimé;192.00;Estimé;204.00;Estimé;151.00;Estimé;153.00;Estimé;188.00;Estimé;198.00;Estimé;464.00;Estimé;
24;232.00;Estimé;617.00;;170.00;Estimé;145.00;Estimé;197.00;Estimé;169.00;Estimé;163.00;Estimé;127.00;Estimé;131.00;Estimé;197.00;Estimé;186.00;Estimé;518.00;Estimé;
25;198.00;Estimé;632.00;;182.00;Estimé;135.00;Estimé;153.00;Estimé;168.00;Estimé;172.00;Estimé;115.00;Estimé;129.00;Estimé;177.00;Estimé;180.00;Estimé;663.00;;
26;189.00;Estimé;604.00;;208.00;Estimé;127.00;Estimé;142.00;Estimé;146.00;Estimé;149.00;Estimé;165.00;Estimé;134.00;Estimé;145.00;Estimé;172.00;Estimé;695.00;;
27;214.00;Estimé;590.00;;178.00;Estimé;145.00;Estimé;144.00;Estimé;132.00;Estimé;147.00;Estimé;182.00;Estimé;137.00;Estimé;143.00;Estimé;140.00;Estimé;738.00;;
28;289.00;Estimé;568.00;;157.00;Estimé;180.00;Estimé;161.00;Estimé;134.00;Estimé;160.00;Estimé;175.00;Estimé;157.00;Estimé;147.00;Estimé;163.00;Estimé;773.00;;
29;389.00;Estimé;;;154.00;Estimé;160.00;Estimé;154.00;Estimé;143.00;Estimé;156.00;Estimé;167.00;Estimé;185.00;Estimé;136.00;Estimé;209.00;Estimé;729.00;;
30;358.00;Estimé;;;163.00;Estimé;164.00;Estimé;139.00;Estimé;146.00;Estimé;161.00;Estimé;197.00;Estimé;129.00;Estimé;189.00;Estimé;209.00;Estimé;637.00;;
31;408.00;Estimé;;;146.00;Estimé;;;124.00;Estimé;;;151.00;Estimé;178.00;Estimé;;;214.00;Estimé;;;605.00;;
Procédure : QJM - Année : 1974

Code station;Libellé station;Bassin versant (km²);Producteur;E-mail;
H5920011;La Seine à Paris [Austerlitz avant création lacs];43800;DRIEE IDF;marc.valente@developpement-durable.gouv.fr;

Année;1974;
;
Débits mensuels en m3/s;
;QMM;QMN;V;
J;;;;;
F;;;;;
M;;;;;
A;;;;;
M;;;;;
J;;;;;
J;;;;;
A;;;;;
S;;;;;
O;;;;;
N;;;;;
D;;;;;

Statistiques;
;;Janvier;Février;Mars;Avril;Mai;Juin;Juillet;Août;Septembre;Octobre;Novembre;Décembre;1974
Ecoulement mensuel;Validité;;;;;;;;;;;;;;
;();;;;;;;;;;;;;;
;();;;;;;;;;;;;;;
;();;;;;;;;;;;;;;
;
Ecoulement naturel reconstitué;();;;;;;;;;;;;;;
;();;;;;;;;;;;;;;
;();;;;;;;;;;;;;;
;
Maximum instantané;();;;;;;;;;;;;;;
;Date; ; ; ; ; ; ; ; ; ; ; ; ; ;
;Hauteur ();0.00;;;;;;;;;;;;0.00;
;Date;01/01/1974 00:01; ; ; ; ; ; ; ; ; ; ; ;01/01/1974 00:01;
;

Débits journaliers;
Jour/Mois;Janvier;;Février;;Mars;;Avril;;Mai;;Juin;;Juillet;;Août;;Septembre;;Octobre;;Novembre;;Décembre;;
;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;
1;;;;;;;;;;;;;;;;;;;;;;;;;
2;;;;;;;;;;;;;;;;;;;;;;;;;
3;;;;;;;;;;;;;;;;;;;;;;;;;
4;;;;;;;;;;;;;;;;;;;;;;;;;
5;;;;;;;;;;;;;;;;;;;;;;;;;
6;;;;;;;;;;;;;;;;;;;;;;;;;
7;;;;;;;;;;;;;;;;;;;;;;;;;
8;;;;;;;;;;;;;;;;;;;;;;;;;
9;;;;;;;;;;;;;;;;;;;;;;;;;
10;;;;;;;;;;;;;;;;;;;;;;;;;
11;;;;;;;;;;;;;;;;;;;;;;;;;
12;;;;;;;;;;;;;;;;;;;;;;;;;
13;;;;;;;;;;;;;;;;;;;;;;;;;
14;;;;;;;;;;;;;;;;;;;;;;;;;
15;;;;;;;;;;;;;;;;;;;;;;;;;
16;;;;;;;;;;;;;;;;;;;;;;;;;
17;;;;;;;;;;;;;;;;;;;;;;;;;
18;;;;;;;;;;;;;;;;;;;;;;;;;
19;;;;;;;;;;;;;;;;;;;;;;;;;
20;;;;;;;;;;;;;;;;;;;;;;;;;
21;;;;;;;;;;;;;;;;;;;;;;;;;
22;;;;;;;;;;;;;;;;;;;;;;;;;
23;;;;;;;;;;;;;;;;;;;;;;;;;
24;;;;;;;;;;;;;;;;;;;;;;;;;
25;;;;;;;;;;;;;;;;;;;;;;;;;
26;;;;;;;;;;;;;;;;;;;;;;;;;
27;;;;;;;;;;;;;;;;;;;;;;;;;
28;;;;;;;;;;;;;;;;;;;;;;;;;
29;;;;;;;;;;;;;;;;;;;;;;;;;
30;;;;;;;;;;;;;;;;;;;;;;;;;
31;;;;;;;;;;;;;;;;;;;;;;;;;
Procédure : QJM - Année : 1975

Code station;Libellé station;Bassin versant (km²);Producteur;E-mail;
H5920011;La Seine à Paris [Austerlitz avant création lacs];43800;DRIEE IDF;marc.valente@developpement-durable.gouv.fr;

Année;1975;
;
Débits mensuels en m3/s;
;QMM;QMN;V;
J;;;;;
F;;;;;
M;;;;;
A;;;;;
M;;;;;
J;;;;;
J;;;;;
A;;;;;
S;;;;;
O;;;;;
N;;;;;
D;;;;;

Statistiques;
;;Janvier;Février;Mars;Avril;Mai;Juin;Juillet;Août;Septembre;Octobre;Novembre;Décembre;1975
Ecoulement mensuel;Validité;;;;;;;;;;;;;;
;();;;;;;;;;;;;;;
;();;;;;;;;;;;;;;
;();;;;;;;;;;;;;;
;
Ecoulement naturel reconstitué;();;;;;;;;;;;;;;
;();;;;;;;;;;;;;;
;();;;;;;;;;;;;;;
;
Maximum instantané;();;;;;;;;;;;;;;
;Date; ; ; ; ; ; ; ; ; ; ; ; ; ;
;();;;;;;;;;;;;;;
;Date; ; ; ; ; ; ; ; ; ; ; ; ; ;
;

Débits journaliers;
Jour/Mois;Janvier;;Février;;Mars;;Avril;;Mai;;Juin;;Juillet;;Août;;Septembre;;Octobre;;Novembre;;Décembre;;
;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;Débit;Validité;
